cohort,n,n_UIH,n_GE,diff,se,df,welch_t,welch_p,eta2
n132_1.5T_DCMfree,132,51,81,2.2514212079730527,1.1939228246685518,107.72030423841828,1.885734288225938,0.0620246111240228,0.0266254902117077
n146_incl_3T_DCMfree,146,51,95,2.391374610719012,1.1444441873973887,100.70372164410362,2.0895511000473523,0.0391781394518047,0.0294286913010834
n213_QCpass_no_DCM_review,213,82,131,3.0515223649242245,0.9406962644831084,175.28927519188184,3.2438976108839634,0.0014119270584603,0.0475024164713754
n146_C6,141,51,90,4.368415686274517,,,2.474521904272492,0.0147388780244979,
n146_C7,139,51,88,4.896473707664882,,,2.7650698510681493,0.0064906427561399,
n48_ge50_DCMfree_batch1,48,19,29,0.9290105100550363,,,0.45933629501314116,0.6482794875026044,0.0045657933899237915
