study_id,vendor,manufacturer,model,field_T,TR_ms,TE_ms,ETL,flip_deg,slice_thick_mm,spacing_mm,inter_slice_gap_mm,acq_matrix,acq_matrix_source,fov_mm,fov_mm_source,bandwidth_Hzpx
S111,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S112,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,86.16,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S113,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2340.0,85.62,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S114,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,85.62,21.0,90.0,3.5,4.5,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S115,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,85.62,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S116,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S117,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2560.0,87.96,21.0,90.0,4.0,5.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S118,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,85.62,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S119,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S120,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2560.0,86.4,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S121,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S122,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S123,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S124,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.46,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S125,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2340.0,85.62,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S126,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S127,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2340.0,85.92,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S128,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S129,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S130,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,85.86,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S131,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S132,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,444x576,DICOM header (rows/cols fields),185.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
